oportunidade_id,data_criacao,data_fechamento,cliente_ficticio,segmento,regiao,vendedor_ficticio,origem_lead,produto,campanha,status,probabilidade_pct,valor_bruto_brl,desconto_pct,valor_liquido_brl,ciclo_dias,motivo_perda,proxima_atividade,observacao
OPP-20260028,2026-09-14,,Cume Servicos 028,Varejo,Sul,Beatriz Moreira,Formulario do site,Integracao Enterprise,Rota 120,Proposta enviada,55,256600.00,7,238638.00,16,,2026-09-27,Negociacao de escopo em andamento
OPP-20260029,2026-08-09,,Farol Comercio 029,Tecnologia,Sul,Henrique Pires,Formulario do site,CRM Essencial,Expansao Regional,Proposta enviada,55,68100.00,0,68100.00,52,,2026-08-20,Proposta em revisao juridica
OPP-20260030,2026-07-05,2026-09-03,Atlas Solucoes 030,Varejo,Nordeste,Eduardo Ramos,Prospecção ativa,CRM Essencial,Parcerias 360,Ganha,100,61700.00,5,58615.00,60,,,Contrato aprovado pelo cliente
OPP-20260031,2026-08-28,,Integra Digital 031,Logistica,Sul,Beatriz Moreira,Reativacao de cliente,CRM Profissional,Expansao Regional,Qualificacao,25,111700.00,0,111700.00,33,,2026-09-08,Reuniao de demonstracao agendada
OPP-20260032,2026-08-31,,Raiz Solucoes 032,Servicos empresariais,Sudeste,Juliana Freitas,Formulario do site,CRM Profissional,Rota 120,Proposta enviada,55,114500.00,5,108775.00,30,,2026-09-10,Negociacao de escopo em andamento
OPP-20260033,2026-09-25,,Norte Servicos 033,Servicos empresariais,Sudeste,Diego Martins,Indicacao de parceiro,Analytics de Receita,Rota 120,Qualificacao,25,76700.00,5,72865.00,5,,2026-10-11,Aguardando retorno do cliente
OPP-20260034,2026-08-11,,Integra Logistica 034,Servicos empresariais,Sul,Beatriz Moreira,Formulario do site,CRM Essencial,Clientes Inativos,Em negociacao,75,51300.00,5,48735.00,50,,2026-08-20,Reuniao de demonstracao agendada
OPP-20260035,2026-09-22,,Ponte Industria 035,Logistica,Sudeste,Lucas Ribeiro,Indicacao de parceiro,Integracao Enterprise,Rota 120,Proposta enviada,55,150000.00,0,150000.00,8,,2026-10-08,Aguardando retorno do cliente
OPP-20260036,2026-09-01,,Orion Gestao 036,Servicos empresariais,Sudeste,Juliana Freitas,Indicacao de parceiro,Integracao Enterprise,Expansao Regional,Em negociacao,75,137200.00,5,130340.00,29,,2026-09-07,Aguardando retorno do cliente
OPP-20260037,2026-09-26,,Lumina Industria 037,Servicos empresariais,Nordeste,Renata Azevedo,Prospecção ativa,CRM Essencial,Clientes Inativos,Qualificacao,25,47800.00,7,44454.00,4,,2026-10-03,Contato com decisor ainda pendente
OPP-20260038,2026-08-27,,Delta Solucoes 038,Tecnologia,Sul,Henrique Pires,Formulario do site,CRM Essencial,Parcerias 360,Em negociacao,75,62600.00,7,58218.00,34,,2026-09-11,Aguardando retorno do cliente
OPP-20260039,2026-08-15,2026-09-23,Raiz Gestao 039,Logistica,Sudeste,Lucas Ribeiro,Prospecção ativa,CRM Essencial,Clientes Inativos,Ganha,100,61400.00,3,59558.00,39,,,Implantacao prevista para o proximo mes
OPP-20260040,2026-08-05,2026-09-30,Farol Digital 040,Logistica,Sudeste,Diego Martins,Prospecção ativa,Analytics de Receita,Rota 120,Perdida,0,104800.00,7,97464.00,56,Sem retorno,,Concorrencia com proposta mais agressiva
OPP-20260041,2026-09-27,,Delta Digital 041,Tecnologia,Sul,Beatriz Moreira,Formulario do site,Analytics de Receita,Rota 120,Qualificacao,25,99600.00,10,89640.00,3,,2026-10-14,Proposta em revisao juridica
OPP-20260042,2026-08-30,,Delta Comercio 042,Tecnologia,Centro-Oeste,Patricia Duarte,Reativacao de cliente,Automacao Comercial,Expansao Regional,Proposta enviada,55,164800.00,0,164800.00,31,,2026-09-15,Negociacao de escopo em andamento
OPP-20260043,2026-07-30,2026-09-23,Nexo Sistemas 043,Tecnologia,Sudeste,Ana Torres,Prospecção ativa,Analytics de Receita,Rota 120,Ganha,100,69300.00,7,64449.00,55,,,Contrato aprovado pelo cliente
OPP-20260044,2026-07-13,,Lumina Consultoria 044,Tecnologia,Sudeste,Ana Torres,Indicacao de parceiro,Automacao Comercial,Rota 120,Em negociacao,75,133000.00,3,129010.00,79,,2026-07-25,Reuniao de demonstracao agendada
OPP-20260045,2026-08-20,2026-09-30,Vetor Consultoria 045,Servicos empresariais,Nordeste,Renata Azevedo,Reativacao de cliente,Analytics de Receita,Clientes Inativos,Ganha,100,73400.00,7,68262.00,41,,,Venda concluida apos revisao comercial
OPP-20260046,2026-07-04,,Aurora Gestao 046,Logistica,Sudeste,Lucas Ribeiro,Prospecção ativa,Automacao Comercial,Clientes Inativos,Qualificacao,25,125900.00,12,110792.00,88,,2026-07-21,Aguardando retorno do cliente
OPP-20260047,2026-09-14,,Atlas Industria 047,Logistica,Sul,Henrique Pires,Reativacao de cliente,Analytics de Receita,Parcerias 360,Em negociacao,75,121000.00,5,114950.00,16,,2026-09-19,Aguardando retorno do cliente
OPP-20260048,2026-08-27,,Trilha Industria 048,Servicos empresariais,Sudeste,Ana Torres,Indicacao de parceiro,CRM Essencial,Expansao Regional,Proposta enviada,55,73400.00,10,66060.00,34,,2026-09-09,Reuniao de demonstracao agendada
OPP-20260049,2026-07-07,2026-08-16,Norte Consultoria 049,Tecnologia,Sudeste,Juliana Freitas,Prospecção ativa,CRM Essencial,Parcerias 360,Perdida,0,55100.00,7,51243.00,40,Preco,,Oportunidade encerrada sem previsao de retomada
OPP-20260050,2026-08-17,,Atlas Tecnologia 050,Tecnologia,Centro-Oeste,Caio Barros,Formulario do site,CRM Profissional,Rota 120,Qualificacao,25,108100.00,3,104857.00,44,,2026-09-04,Contato com decisor ainda pendente
OPP-20260051,2026-07-08,2026-08-11,Trilha Consultoria 051,Tecnologia,Sudeste,Ana Torres,Prospecção ativa,CRM Essencial,Rota 120,Perdida,0,75300.00,7,70029.00,34,Prioridade adiada,,Retomar contato no proximo trimestre
OPP-20260052,2026-07-16,2026-09-28,Lumina Gestao 052,Tecnologia,Sudeste,Ana Torres,Evento online,Automacao Comercial,Clientes Inativos,Ganha,100,125900.00,0,125900.00,74,,,Contrato aprovado pelo cliente
OPP-20260053,2026-07-05,2026-09-06,Mosaico Sistemas 053,Tecnologia,Sudeste,Juliana Freitas,Evento online,CRM Essencial,Expansao Regional,Perdida,0,73000.00,10,65700.00,63,Prioridade adiada,,Concorrencia com proposta mais agressiva
OPP-20260054,2026-08-17,,Lumina Servicos 054,Tecnologia,Sul,Henrique Pires,Indicacao de parceiro,CRM Profissional,Rota 120,Proposta enviada,55,80300.00,7,74679.00,44,,2026-08-26,Negociacao de escopo em andamento
OPP-20260055,2026-07-23,,Integra Logistica 055,Industria,Sudeste,Lucas Ribeiro,Evento online,Automacao Comercial,Expansao Regional,Qualificacao,25,161700.00,5,153615.00,69,,2026-07-27,Negociacao de escopo em andamento
OPP-20260056,2026-07-31,,Prisma Gestao 056,Tecnologia,Sul,Henrique Pires,Formulario do site,Integracao Enterprise,Rota 120,Proposta enviada,55,166400.00,7,154752.00,61,,2026-08-14,Proposta em revisao juridica
OPP-20260057,2026-08-06,2026-09-21,Lumina Sistemas 057,Servicos empresariais,Sudeste,Lucas Ribeiro,Formulario do site,Analytics de Receita,Expansao Regional,Ganha,100,120200.00,0,120200.00,46,,,Cliente originado por indicacao
OPP-20260058,2026-08-23,,Horizonte Industria 058,Tecnologia,Sudeste,Diego Martins,Prospecção ativa,CRM Essencial,Rota 120,Proposta enviada,55,58500.00,0,58500.00,38,,2026-09-01,Reuniao de demonstracao agendada
OPP-20260059,2026-09-18,,Farol Logistica 059,Industria,Sudeste,Juliana Freitas,Formulario do site,CRM Essencial,Rota 120,Em negociacao,75,73000.00,10,65700.00,12,,2026-09-27,Proposta em revisao juridica
OPP-20260060,2026-07-20,2026-08-23,Via Solucoes 060,Tecnologia,Sudeste,Diego Martins,Prospecção ativa,Automacao Comercial,Clientes Inativos,Ganha,100,164700.00,10,148230.00,34,,,Implantacao prevista para o proximo mes
OPP-20260061,2026-08-06,2026-09-27,Atlas Logistica 061,Tecnologia,Sudeste,Juliana Freitas,Formulario do site,CRM Profissional,Rota 120,Ganha,100,96600.00,3,93702.00,52,,,Implantacao prevista para o proximo mes
OPP-20260062,2026-08-28,2026-09-25,Delta Logistica 062,Logistica,Sudeste,Ana Torres,Indicacao de parceiro,Automacao Comercial,Rota 120,Perdida,0,117500.00,5,111625.00,28,Concorrente escolhido,,Cliente solicitou nova avaliacao futura
OPP-20260063,2026-07-02,2026-08-04,Aurora Tecnologia 063,Logistica,Sudeste,Ana Torres,Formulario do site,CRM Profissional,Clientes Inativos,Perdida,0,81300.00,5,77235.00,33,Concorrente escolhido,,Retomar contato no proximo trimestre
OPP-20260064,2026-08-04,2026-09-17,Atlas Solucoes 064,Varejo,Sudeste,Ana Torres,Formulario do site,CRM Essencial,Parcerias 360,Ganha,100,52700.00,12,46376.00,44,,,Venda concluida apos revisao comercial
OPP-20260065,2026-09-21,,Farol Servicos 065,Servicos empresariais,Sudeste,Ana Torres,Indicacao de parceiro,CRM Essencial,Clientes Inativos,Qualificacao,25,80800.00,7,75144.00,9,,2026-09-29,Aguardando retorno do cliente
OPP-20260066,2026-08-09,2026-08-27,Norte Logistica 066,Servicos empresariais,Sudeste,Ana Torres,Reativacao de cliente,Analytics de Receita,Expansao Regional,Perdida,0,70200.00,5,66690.00,18,Sem orcamento,,Cliente solicitou nova avaliacao futura
OPP-20260067,2026-08-07,,Farol Servicos 067,Logistica,Sul,Henrique Pires,Indicacao de parceiro,CRM Profissional,Clientes Inativos,Proposta enviada,55,83800.00,3,81286.00,54,,2026-08-17,Contato com decisor ainda pendente
OPP-20260068,2026-09-09,2026-09-30,Aurora Digital 068,Logistica,Nordeste,Renata Azevedo,Formulario do site,Integracao Enterprise,Rota 120,Perdida,0,139700.00,10,125730.00,21,Preco,,Retomar contato no proximo trimestre
OPP-20260069,2026-07-01,,Integra Comercio 069,Varejo,Sudeste,Lucas Ribeiro,Prospecção ativa,Integracao Enterprise,Rota 120,Em negociacao,75,166400.00,7,154752.00,91,,2026-07-16,Proposta em revisao juridica
OPP-20260070,2026-08-21,2026-09-30,Raiz Industria 070,Industria,Sudeste,Ana Torres,Formulario do site,Analytics de Receita,Rota 120,Ganha,100,112700.00,5,107065.00,40,,,Venda com potencial de expansao
OPP-20260071,2026-08-09,,Mosaico Digital 071,Tecnologia,Sudeste,Diego Martins,Reativacao de cliente,Integracao Enterprise,Expansao Regional,Qualificacao,25,212600.00,0,212600.00,52,,2026-08-15,Reuniao de demonstracao agendada
OPP-20260072,2026-08-01,,Nexo Industria 072,Industria,Sudeste,Lucas Ribeiro,Prospecção ativa,Integracao Enterprise,Rota 120,Qualificacao,25,132200.00,0,132200.00,60,,2026-08-12,Proposta em revisao juridica
OPP-20260073,2026-07-08,,Horizonte Tecnologia 073,Industria,Sudeste,Ana Torres,Indicacao de parceiro,CRM Profissional,Rota 120,Proposta enviada,55,112800.00,5,107160.00,84,,2026-07-26,Proposta em revisao juridica
OPP-20260074,2026-07-19,,Aurora Comercio 074,Tecnologia,Sudeste,Lucas Ribeiro,Prospecção ativa,Analytics de Receita,Rota 120,Em negociacao,75,97600.00,5,92720.00,73,,2026-07-23,Contato com decisor ainda pendente
OPP-20260075,2026-07-05,2026-09-05,Orion Comercio 075,Servicos empresariais,Sudeste,Diego Martins,Indicacao de parceiro,Analytics de Receita,Rota 120,Ganha,100,72000.00,5,68400.00,62,,,Venda concluida apos revisao comercial
OPP-20260076,2026-09-22,,Eixo Logistica 076,Industria,Sudeste,Juliana Freitas,Reativacao de cliente,CRM Profissional,Parcerias 360,Em negociacao,75,119200.00,7,110856.00,8,,2026-09-25,Contato com decisor ainda pendente
OPP-20260077,2026-09-10,2026-09-30,Aurora Solucoes 077,Servicos empresariais,Nordeste,Thiago Campos,Prospecção ativa,Analytics de Receita,Rota 120,Ganha,100,112100.00,7,104253.00,20,,,Venda concluida apos revisao comercial
OPP-20260078,2026-09-24,,Orion Tecnologia 078,Logistica,Nordeste,Eduardo Ramos,Formulario do site,Automacao Comercial,Rota 120,Em negociacao,75,140000.00,5,133000.00,6,,2026-09-27,Reuniao de demonstracao agendada
OPP-20260079,2026-07-23,2026-08-15,Aurora Digital 079,Logistica,Sudeste,Diego Martins,Indicacao de parceiro,Integracao Enterprise,Parcerias 360,Perdida,0,207900.00,7,193347.00,23,Preco,,Oportunidade encerrada sem previsao de retomada
OPP-20260080,2026-08-01,,Orion Gestao 080,Tecnologia,Sudeste,Juliana Freitas,Formulario do site,CRM Profissional,Sem campanha,Proposta enviada,55,83800.00,3,81286.00,60,,2026-08-11,Aguardando retorno do cliente
OPP-20260081,2026-08-15,2026-09-30,Horizonte Servicos 081,Logistica,Sudeste,Ana Torres,Indicacao de parceiro,CRM Essencial,Rota 120,Ganha,100,82700.00,5,78565.00,46,,,Cliente originado por indicacao
OPP-20260082,2026-08-19,2026-09-20,Eixo Gestao 082,Servicos empresariais,Sul,Henrique Pires,Evento online,Analytics de Receita,Expansao Regional,Ganha,100,114600.00,5,108870.00,32,,,Contrato aprovado pelo cliente
OPP-20260083,2026-08-06,2026-09-30,Lumina Servicos 083,Varejo,Sudeste,Juliana Freitas,Evento online,CRM Essencial,Expansao Regional,Perdida,0,82800.00,10,74520.00,55,Preco,,Oportunidade encerrada sem previsao de retomada
OPP-20260084,2026-09-11,2026-09-30,Ponte Servicos 084,Tecnologia,Sudeste,Ana Torres,Formulario do site,CRM Essencial,Clientes Inativos,Ganha,100,79900.00,10,71910.00,19,,,Venda com potencial de expansao
OPP-20260085,2026-08-11,2026-09-30,Prisma Gestao 085,Logistica,Centro-Oeste,Patricia Duarte,Reativacao de cliente,Analytics de Receita,Sem campanha,Ganha,100,102600.00,12,90288.00,50,,,Venda com potencial de expansao
OPP-20260086,2026-07-04,2026-07-31,Cume Comercio 086,Tecnologia,Centro-Oeste,Patricia Duarte,Reativacao de cliente,CRM Profissional,Expansao Regional,Ganha,100,103300.00,3,100201.00,27,,,Implantacao prevista para o proximo mes
OPP-20260087,2026-07-14,2026-09-30,Lumina Solucoes 087,Tecnologia,Sudeste,Lucas Ribeiro,Reativacao de cliente,Automacao Comercial,Clientes Inativos,Perdida,0,177900.00,3,172563.00,78,Prioridade adiada,,Cliente solicitou nova avaliacao futura
OPP-20260088,2026-09-11,,Ponte Servicos 088,Tecnologia,Nordeste,Thiago Campos,Reativacao de cliente,CRM Profissional,Expansao Regional,Proposta enviada,55,100500.00,7,93465.00,19,,2026-09-23,Aguardando retorno do cliente
OPP-20260089,2026-09-23,,Aurora Sistemas 089,Servicos empresariais,Sudeste,Lucas Ribeiro,Prospecção ativa,Automacao Comercial,Clientes Inativos,Proposta enviada,55,100500.00,3,97485.00,7,,2026-10-11,Negociacao de escopo em andamento
OPP-20260090,2026-07-05,2026-08-20,Raiz Sistemas 090,Servicos empresariais,Sudeste,Ana Torres,Indicacao de parceiro,Integracao Enterprise,Rota 120,Ganha,100,135600.00,5,128820.00,46,,,Cliente originado por indicacao
OPP-20260091,2026-08-13,2026-09-24,Farol Sistemas 091,Logistica,Nordeste,Renata Azevedo,Prospecção ativa,CRM Profissional,Rota 120,Perdida,0,111200.00,3,107864.00,42,Preco,,Retomar contato no proximo trimestre
OPP-20260092,2026-07-12,2026-09-25,Ponte Comercio 092,Servicos empresariais,Centro-Oeste,Patricia Duarte,Indicacao de parceiro,Integracao Enterprise,Rota 120,Ganha,100,200100.00,3,194097.00,75,,,Venda concluida apos revisao comercial
OPP-20260093,2026-08-15,2026-09-30,Atlas Solucoes 093,Industria,Sul,Beatriz Moreira,Prospecção ativa,Analytics de Receita,Sem campanha,Ganha,100,124600.00,5,118370.00,46,,,Implantacao prevista para o proximo mes
OPP-20260094,2026-07-29,2026-09-30,Horizonte Industria 094,Servicos empresariais,Sul,Natalia Cardoso,Prospecção ativa,Automacao Comercial,Rota 120,Ganha,100,118600.00,7,110298.00,63,,,Cliente originado por indicacao
OPP-20260095,2026-09-16,,Nexo Industria 095,Industria,Sul,Beatriz Moreira,Indicacao de parceiro,Integracao Enterprise,Expansao Regional,Em negociacao,75,233800.00,7,217434.00,14,,2026-10-02,Contato com decisor ainda pendente
OPP-20260096,2026-07-27,,Delta Consultoria 096,Logistica,Sul,Natalia Cardoso,Indicacao de parceiro,CRM Profissional,Expansao Regional,Proposta enviada,55,129900.00,7,120807.00,65,,2026-08-10,Proposta em revisao juridica
OPP-20260097,2026-07-20,,Nexo Servicos 097,Varejo,Sul,Natalia Cardoso,Indicacao de parceiro,CRM Profissional,Clientes Inativos,Em negociacao,75,129000.00,5,122550.00,72,,2026-08-04,Negociacao de escopo em andamento
OPP-20260098,2026-08-15,,Trilha Gestao 098,Logistica,Nordeste,Renata Azevedo,Formulario do site,CRM Essencial,Parcerias 360,Qualificacao,25,46400.00,3,45008.00,46,,2026-08-22,Aguardando retorno do cliente
OPP-20260099,2026-07-08,2026-09-15,Integra Solucoes 099,Industria,Sudeste,Lucas Ribeiro,Formulario do site,Automacao Comercial,Rota 120,Ganha,100,94700.00,7,88071.00,69,,,Contrato aprovado pelo cliente
OPP-20260100,2026-08-30,2026-09-30,Raiz Comercio 100,Logistica,Sudeste,Diego Martins,Prospecção ativa,Integracao Enterprise,Rota 120,Ganha,100,252200.00,12,221936.00,31,,,Venda com potencial de expansao
OPP-20260101,2026-08-25,,Nexo Solucoes 101,Varejo,Centro-Oeste,Patricia Duarte,Prospecção ativa,Integracao Enterprise,Expansao Regional,Proposta enviada,55,249100.00,3,241627.00,36,,2026-09-01,Reuniao de demonstracao agendada
OPP-20260102,2026-07-08,,Eixo Consultoria 102,Tecnologia,Centro-Oeste,Caio Barros,Reativacao de cliente,Analytics de Receita,Parcerias 360,Em negociacao,75,99200.00,10,89280.00,84,,2026-07-13,Negociacao de escopo em andamento
OPP-20260103,2026-07-14,,Atlas Servicos 103,Industria,Sudeste,Ana Torres,Formulario do site,CRM Essencial,Expansao Regional,Proposta enviada,55,59700.00,7,55521.00,78,,2026-07-23,Reuniao de demonstracao agendada
OPP-20260104,2026-07-18,2026-08-11,Vetor Gestao 104,Servicos empresariais,Sudeste,Lucas Ribeiro,Prospecção ativa,Automacao Comercial,Rota 120,Ganha,100,161000.00,3,156170.00,24,,,Venda concluida apos revisao comercial
OPP-20260105,2026-09-12,,Lumina Consultoria 105,Logistica,Centro-Oeste,Caio Barros,Prospecção ativa,CRM Profissional,Clientes Inativos,Proposta enviada,55,138600.00,10,124740.00,18,,2026-09-19,Contato com decisor ainda pendente
OPP-20260106,2026-09-21,,Orion Tecnologia 106,Varejo,Nordeste,Renata Azevedo,Reativacao de cliente,Integracao Enterprise,Rota 120,Qualificacao,25,131300.00,15,111605.00,9,,2026-09-24,Reuniao de demonstracao agendada
OPP-20260107,2026-09-19,,Orion Logistica 107,Logistica,Sul,Beatriz Moreira,Formulario do site,Automacao Comercial,Rota 120,Qualificacao,25,111100.00,10,99990.00,11,,2026-10-01,Proposta em revisao juridica
OPP-20260108,2026-09-24,,Lumina Industria 108,Varejo,Sudeste,Lucas Ribeiro,Indicacao de parceiro,CRM Essencial,Expansao Regional,Qualificacao,25,74400.00,7,69192.00,6,,2026-10-02,Aguardando retorno do cliente
OPP-20260109,2026-09-30,,Cume Solucoes 109,Industria,Nordeste,Thiago Campos,Indicacao de parceiro,CRM Profissional,Clientes Inativos,Qualificacao,25,98400.00,7,91512.00,0,,2026-10-08,Contato com decisor ainda pendente
OPP-20260110,2026-08-08,2026-09-30,Horizonte Digital 110,Tecnologia,Nordeste,Eduardo Ramos,Indicacao de parceiro,Automacao Comercial,Rota 120,Ganha,100,139500.00,10,125550.00,53,,,Venda concluida apos revisao comercial
OPP-20260111,2026-08-26,2026-09-19,Delta Consultoria 111,Logistica,Nordeste,Eduardo Ramos,Formulario do site,Automacao Comercial,Clientes Inativos,Perdida,0,108700.00,10,97830.00,24,Concorrente escolhido,,Oportunidade encerrada sem previsao de retomada
OPP-20260112,2026-09-21,,Trilha Tecnologia 112,Varejo,Sudeste,Juliana Freitas,Evento online,Analytics de Receita,Rota 120,Proposta enviada,55,103600.00,3,100492.00,9,,2026-10-08,Negociacao de escopo em andamento
OPP-20260113,2026-07-08,2026-08-30,Via Tecnologia 113,Industria,Nordeste,Renata Azevedo,Prospecção ativa,Integracao Enterprise,Rota 120,Perdida,0,234500.00,3,227465.00,53,Sem retorno,,Projeto interno do cliente foi suspenso
OPP-20260114,2026-09-17,,Plena Logistica 114,Logistica,Centro-Oeste,Patricia Duarte,Prospecção ativa,CRM Profissional,Rota 120,Em negociacao,75,94800.00,7,88164.00,13,,2026-09-24,Contato com decisor ainda pendente
OPP-20260115,2026-09-25,,Aurora Gestao 115,Tecnologia,Centro-Oeste,Caio Barros,Reativacao de cliente,CRM Profissional,Rota 120,Qualificacao,25,98800.00,5,93860.00,5,,2026-10-04,Contato com decisor ainda pendente
